AS0;Reserved (ietf);v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 177]
AS10137;PATRANET-AP Patrakom Internet Service Provider;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 67]
AS10220;SNET-ID-AP PT. Sejahtera  Globalindo;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 59]
AS131112;MMTC-AS-ID Sekolah Tinggi Multi Media MMTC Yogyakarta;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 53]
AS131693;IDNIC-KEMENAG-AS-ID Kementerian Agama (KEMENAG);v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 308]
AS131697;SI-AS-ID PT Samudera Indonesia Tbk.;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 54]
AS131699;IDNIC-DMA-AS-ID PT. Deltrasindo Mitra Asiatama;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 151]
AS131703;IDNIC-UNJ-AS-ID Universitas Negeri Jakarta;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 169]
AS131706;TERABIT-AS-ID PT SELARAS CITRA TERABIT;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 2838]
AS131709;IDNIC-UNSOED-AS-ID PENGGUNA DIKS PTH UNSOED;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 531]
AS131711;ORANGE-ISP-AS-ID PT Global Teknologi Teraindo;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 625]
AS131713;IDNIC-SPICELINK-AS-ID PT Sano Komunikasi;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 183]
AS131717;IDNIC-CIFO-AS-ID PT Citra Jelajah Informatika;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1796]
AS131722;IDNIC-PU-AS-ID Kementrian Pekerjaan Umum;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 675]
AS131723;IDNIC-DJBC-ID Kementerian Keuangan Ditjen Bea Cukai;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 164]
AS131724;IDNIC-DINHUBKOMINFO-JATENG-AS-ID DINHUBKOMINFO PEMPROV. JAWA TENGAH;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 282]
AS131726;IDNIC-DISHUBKOMINFO-TEGAL-AS-ID Dishubkominfo Kota Tegal;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 62]
AS131728;ANEKASIGNAL-AS-ID PT Aneka Signal;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 448]
AS131730;IDNIC-SATKOMINDO-AS-ID PT. SATKOMINDO MEDIYASA;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 120]
AS131734;IDNIC-UINJKT-AS-ID Universitas Islam Negeri Syarif Hidayatullah Jakarta;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 264]
AS131735;IDNIC-TNC-ID PT Telemedia Network Cakrawala;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 442]
AS131740;SMARTMEDIA-AS-ID PT Smart Media Pratama;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 1617]
AS131743;IDNIC-GBA-AS-ID PT GNET BIARO AKSES;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 460]
AS131746;PERMANA-AS-ID PT. Medianusa Permana;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 586]
AS131753;IDNIC-VERD-AS-ID CV. VERD;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 213]
AS131757;IDNIC-CYBERK-AS-ID Koperasi PRIMKOKAS;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 525]
AS131759;IDNIC-WDS-AS-ID PT. Web Data Solusindo;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 828]
AS131760;IDNIC-PREMIER-OIL-AS-ID Premier oil Indonesia;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 77]
AS131763;IDNIC-TADULAKO-AS-ID Universitas Tadulako;v: 0.00 f:'0.00%' ;v: 0.00 f: '0.00%' 691]
